experiment,train_speed,test_speed,fraction_pct,granite_mean,sandstone_mean,limestone_mean,overall_mean,granite_std,sandstone_std,limestone_std,overall_std
A,5-10Hz,1-83Hz,20,96.92,96.83,87.92,93.89,0.92,2.04,4.5,1.09
A,5-10Hz,1-83Hz,30,98.25,94.83,94.42,95.83,1.43,1.9,0.85,0.69
A,5-10Hz,1-83Hz,40,99.08,95.33,93.08,95.83,0.31,0.77,1.7,0.54
A,5-10Hz,1-83Hz,50,98.92,94.92,94.25,96.03,0.24,3.16,1.59,0.45
A,5-10Hz,1-83Hz,60,99.08,96.08,94.42,96.53,0.31,1.03,0.51,0.1
A,5-10Hz,1-83Hz,70,99.58,94.25,95.25,96.36,0.12,2.51,0.2,0.91
A,5-10Hz,1-83Hz,80,99.42,92.5,95.83,95.92,0.31,2.01,0.82,0.72
A,5-10Hz,1-83Hz,100,99.67,94.33,95.58,96.53,0.12,1.43,0.85,0.66
B,1-83Hz,5-10Hz,20,94.42,96.92,91.0,94.11,2.09,2.35,3.48,1.03
B,1-83Hz,5-10Hz,30,96.83,96.17,94.08,95.69,1.16,2.05,3.37,0.46
B,1-83Hz,5-10Hz,40,97.83,98.33,90.08,95.42,0.72,0.31,1.65,0.69
B,1-83Hz,5-10Hz,50,97.0,97.75,93.58,96.11,0.74,1.62,1.16,0.5
B,1-83Hz,5-10Hz,60,97.08,96.83,95.08,96.33,0.85,0.59,0.47,0.3
B,1-83Hz,5-10Hz,70,97.75,94.42,96.17,96.11,1.43,3.27,1.85,0.85
B,1-83Hz,5-10Hz,80,99.25,96.58,95.42,97.08,0.41,1.31,0.85,0.27
B,1-83Hz,5-10Hz,100,98.5,98.25,95.0,97.25,0.74,0.35,0.94,0.45
