dataset,data_fraction_pct,test_split_pct,n_train,n_test,best_acc_pct,recall_S10Granite_pct,recall_Holstein_Sandstone_pct,recall_Leitendorf_Limestone_pct,f1_S10Granite,f1_Holstein_Sandstone,f1_Leitendorf_Limestone
1.83 Hz,20,10,2174,242,99.61,98.75,100.0,100.0,0.9937,1.0,0.9939
1.83 Hz,20,20,1932,484,97.85,97.52,98.75,96.93,0.9874,0.9753,0.9693
1.83 Hz,20,30,1691,725,96.22,98.75,92.08,97.96,0.9916,0.9485,0.9486
1.83 Hz,20,40,1449,967,95.51,96.26,96.56,92.94,0.9794,0.945,0.9337
1.83 Hz,20,50,1208,1208,94.64,97.25,95.5,91.18,0.9823,0.9306,0.9265
1.83 Hz,20,60,966,1450,93.37,97.09,94.38,88.55,0.9811,0.9152,0.904
1.83 Hz,20,70,724,1692,91.56,97.86,90.89,86.16,0.9848,0.8883,0.8762
1.83 Hz,20,80,483,1933,90.68,95.01,92.03,84.36,0.9728,0.8778,0.8648
1.83 Hz,20,90,241,2175,87.95,94.87,87.5,81.61,0.9647,0.8417,0.8348
1.83 Hz,40,10,4348,484,99.61,99.38,100.0,99.39,0.9969,0.9969,0.9939
1.83 Hz,40,20,3865,967,99.32,99.06,99.69,99.08,0.9953,0.9938,0.9893
1.83 Hz,40,30,3382,1450,99.08,99.79,98.96,98.57,0.9969,0.9886,0.9877
1.83 Hz,40,40,2899,1933,98.29,99.53,97.81,97.4,0.9961,0.9766,0.9747
1.83 Hz,40,50,2416,2416,97.53,98.88,97.25,96.45,0.9943,0.9665,0.9651
1.83 Hz,40,60,1932,2900,97.18,99.27,97.6,94.59,0.9948,0.9625,0.9571
1.83 Hz,40,70,1449,3383,94.51,98.31,92.68,92.56,0.991,0.9235,0.9215
1.83 Hz,40,80,966,3866,92.37,99.38,89.3,88.51,0.9884,0.8947,0.8881
1.83 Hz,40,90,483,4349,90.85,99.24,88.12,85.29,0.9731,0.8828,0.8682
1.83 Hz,60,10,6523,725,99.22,99.17,100.0,98.37,0.9937,0.9917,0.9897
1.83 Hz,60,20,5798,1450,99.39,99.58,99.17,99.39,0.9979,0.9917,0.9918
1.83 Hz,60,30,5073,2175,99.13,99.86,98.89,98.64,0.9979,0.9882,0.9877
1.83 Hz,60,40,4348,2900,98.98,99.9,98.54,98.47,0.9959,0.987,0.9862
1.83 Hz,60,50,3624,3624,98.77,99.83,98.92,97.55,0.9967,0.9842,0.9819
1.83 Hz,60,60,2899,4349,98.55,99.17,98.61,97.89,0.9955,0.9807,0.9806
1.83 Hz,60,70,2174,5074,97.02,99.41,95.06,96.67,0.9938,0.9609,0.9569
1.83 Hz,60,80,1449,5799,94.52,99.12,92.97,91.47,0.9943,0.9213,0.9201
1.83 Hz,60,90,724,6524,92.3,97.87,89.44,89.65,0.9869,0.8942,0.8894
1.83 Hz,80,10,8697,967,99.61,100.0,99.69,99.08,1.0,0.9938,0.9938
1.83 Hz,80,20,7731,1933,99.45,100.0,99.06,99.23,0.9992,0.9914,0.9923
1.83 Hz,80,30,6764,2900,99.46,100.0,99.06,99.28,0.999,0.9927,0.9918
1.83 Hz,80,40,5798,3866,99.44,99.84,99.38,99.08,0.998,0.9926,0.9923
